codigo;nome;ch_teorico;ch_pratico;ch_total;equivalencia;pre_requisito;co_requisito
ECT1564;GESTÃO ESTRATÉGICA;60;0;60;;;
ICE1024;FUNDAMENTOS DE BIOINFORMÁTICA;60;0;60;( ( DBG0037 ) E ( DBF0112 ) E ( DIM0420 ) ) ;;
IMD0411;INTRODUÇÃO À GOVERNANÇA E GESTÃO DE TI;60;0;60;;IMD0405 ;
IMD0406;PROTOCOLO E SERVIÇOS DE INTERNET;30;0;30;;( IMD0043 ) ;
IMD0407;DESIGN DE SOFTWARE II;60;0;60;DIM0504 ;;
IMD0408;PROCESSOS DE SOFTWARE;60;0;60;( DIM0510 ) ;;( IMD0407 ) 
IMD0405;FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO;60;0;60;( ADM0058 ) ;;
IMD0415;GESTÃO DE INFRAESTRUTURA DE TI;60;0;60;;;
IMD0416;SEGURANÇA DA INFORMAÇÃO;60;0;60;;IMD0405 ;
IMD0417;GESTÃO DE PROJETOS DE SOFTWARE;60;0;60;;IMD0408 ;
IMD0501;FUNDAMENTOS PEDAGÓGICOS PARA A INFORMÁTICA EDUCACIONAL;60;0;60;;;
IMD0502;PROCESSO DE DESENVOLVIMENTO DE SOFTWARE EDUCACIONAL;60;0;60;( DIM0510 ) ;;
IMD0503;LEVANTAMENTO E MODELAGEM DE REQUISITOS;60;0;60;DIM0511 ;;
IMD0506;SISTEMAS COLABORATIVOS DE APOIO À APRENDIZAGEM;45;15;60;;;
IMD0511;INTELIGÊNCIA ARTIFICIAL APLICADA À EDUCAÇÃO;60;0;60;;;
IMD0412;INTRODUÇÃO AO TESTE DE SOFTWARE;60;0;60;DIM0507 ;( IMD0035 ) OU ( ( IMD0040 ) E ( IMD0423 OU IMD0503 ) ) ;
IMD0409;DESENVOLVIMENTO DE SISTEMAS WEB II;30;30;60;( DIM0547 ) ;;( IMD0404 ) 
IMD0403;PROGRAMAÇÃO COM BANCO DE DADOS;30;30;60;;IMD0401 ;
IMD0509;DESENVOLVIMENTO PARA DISPOSITIVOS MÓVEIS;30;30;60;;IMD0040 OU DCA1202 ;
IMD0410;PROGRAMAÇÃO CONCORRENTE E DISTRIBUÍDA;45;15;60;( DIM0542 E DIM0502 ) OU ( DIM0553 E DIM0502 ) ;( ( IMD0032 ) E ( IMD0031 ) ) OU ( ( IMD0040 ) E ( IMD0043 ) E ( IMD0042 OU IMD0036 OU DIM0615 ) ) ;
IMD0414;SISTEMA DE INFORMAÇÃO DISTRIBUÍDO;45;15;60;;IMD0410 ;
IMD0419;COMPUTAÇÃO EM NUVEM;45;15;60;;;
IMD0421;GESTÃO DA MUDANÇA ORGANIZACIONAL;45;15;60;;( IMD0405 ) ;
IMD0521;FUNDAMENTOS DE JOGOS DIGITAIS;60;0;60;;;
IMD0522;JOGOS DIGITAIS COMO FERRAMENTA PEDAGÓGICA;60;0;60;;;
IMD0602;FERRAMENTAS PARA ANÁLISE DE SEQUÊNCIAS;30;30;60;;ICE1024 ;
IMD0603;TECNOLOGIAS EM LARGA ESCALA I;0;60;60;;ICE1024 ;
IMD0422;SISTEMAS DE INTELIGÊNCIA EMPRESARIAL;45;15;60;;( IMD0405 ) ;
IMD0523;TECNOLOGIAS EDUCACIONAIS;60;0;60;( IMD0507 ) ;;
IMD0524;EDUCAÇÃO A DISTÂNCIA;60;0;60;( IMD0508 ) ;;
DBG0047;GENETICA;45;15;60;;;
